,Unnamed: 0,Unnamed: 0.1,A_2,B_2,C_2,D,time
0,0,0,0,0.454065521419,0,-0.907570874167,1988-08-16
1,1,1,1,-0.916356098021,2,0.337351116332,1988-08-17
2,2,2,2,-0.796284383354,4,0.851821204768,1988-08-18
3,3,3,3,0.0446109868288,6,-0.184377762187,1988-08-19
4,4,4,4,2.05867350299,8,1.34817169531,1988-08-20
5,5,5,5,0.568305780905,10,0.281206159504,1988-08-21
6,6,6,6,1.58575981119,12,-0.649397532898,1988-08-22
7,7,7,7,0.258210281794,14,-0.749056959061,1988-08-23
8,8,8,8,-0.515409434728,16,0.473046680012,1988-08-24
9,9,9,9,1.7764565461,18,0.624898950728,1988-08-25
10,10,10,10,1.7141513135,20,0.430800011777,1988-08-26
11,11,11,11,1.23956197922,22,-0.105347588714,1988-08-27
12,12,12,12,-0.946117557031,24,-0.706789788688,1988-08-28
13,13,13,13,1.21126423419,26,-0.677713079926,1988-08-29
14,14,14,14,-0.625366572156,28,0.0723066150538,1988-08-30
15,15,15,15,-1.52007886273,30,1.08456404214,1988-08-31
16,16,16,16,-0.613846669812,32,-0.633799793213,1988-09-01
17,17,17,17,0.988648084197,34,0.039561662269,1988-09-02
18,18,18,18,-0.427504370932,36,-1.06491729399,1988-09-03
19,19,19,19,-0.251495228646,38,0.210504334493,1988-09-04
20,20,20,20,0.487693763258,40,-0.28407986404,1988-09-05
21,21,21,21,1.84970677866,42,0.276738809196,1988-09-06
22,22,22,22,-2.13934339546,44,0.980657816094,1988-09-07
23,23,23,23,-2.12807608345,46,-0.841357197402,1988-09-08
24,24,24,24,-0.305605461437,48,0.263310909031,1988-09-09
25,25,25,25,-0.0928890617855,50,-0.219406381242,1988-09-10
26,26,26,26,-2.40110557846,52,-0.72418159832,1988-09-11
27,27,27,27,-1.47036719411,54,-1.18220640225,1988-09-12
28,28,28,28,-1.59160901151,56,-1.17256043752,1988-09-13
29,29,29,29,1.38023030473,58,1.1490066312,1988-09-14
30,30,30,30,0.887037240645,60,0.823046636493,1988-09-15
31,31,31,31,-0.624346246888,62,0.728540635377,1988-09-16
32,32,32,32,-0.94889695333,64,-2.21055922194,1988-09-17
33,33,33,33,0.256179073899,66,-0.435441712844,1988-09-18
34,34,34,34,-0.934869828595,68,-0.724587543378,1988-09-19
35,35,35,35,0.256326601721,70,-0.968662162636,1988-09-20
36,36,36,36,1.3859220093,72,0.960512667136,1988-09-21
37,37,37,37,1.81761325138,74,0.0698962066051,1988-09-22
38,38,38,38,-0.465433936038,76,-0.763268761488,1988-09-23
39,39,39,39,-0.333633240564,78,0.493554587868,1988-09-24
40,40,40,40,0.806369633616,80,-1.59733012188,1988-09-25
41,41,41,41,-1.36043107127,82,1.96014546421,1988-09-26
42,42,42,42,-0.152692097695,84,1.01086122908,1988-09-27
43,43,43,43,-0.0810507446162,86,-0.197473289061,1988-09-28
44,44,44,44,-1.67317939144,88,-0.56769339495,1988-09-29
45,45,45,45,-0.540503546034,90,-0.0361294356924,1988-09-30
46,46,46,46,0.909064022052,92,0.396170969401,1988-10-01
47,47,47,47,-0.40058954553,94,-0.636775824238,1988-10-02
48,48,48,48,0.0322412007492,96,1.07497325825,1988-10-03
49,49,49,49,-0.707292301596,98,0.189578219262,1988-10-04
50,50,50,50,0.1046120906,100,-0.288565253885,1988-10-05
51,51,51,51,-0.0808352275918,102,-0.35161100929,1988-10-06
52,52,52,52,0.773771361809,104,0.369114864148,1988-10-07
53,53,53,53,-0.15554969262,106,0.928826680374,1988-10-08
54,54,54,54,1.18167136894,108,0.26173825817,1988-10-09
55,55,55,55,-0.317903258988,110,-0.38928333381,1988-10-10
56,56,56,56,-1.19784620444,112,0.638268459209,1988-10-11
57,57,57,57,1.42301162622,114,-0.0408556795227,1988-10-12
58,58,58,58,0.126421799229,116,-0.406922086707,1988-10-13
59,59,59,59,0.777647811954,118,0.160188461531,1988-10-14
60,60,60,60,-0.408371297554,120,-2.48537784068,1988-10-15
61,61,61,61,0.409617543612,122,0.706963602744,1988-10-16
62,62,62,62,1.32994560766,124,0.971064036887,1988-10-17
